commodity_code,description,duty_pct
01012100,"Levende paarden, ezels, muildieren",0.0
01012910,"Levende paarden, ezels, muildieren",0.0
01012990,"Levende paarden, ezels, muildieren",11.5
01013000,"Levende paarden, ezels, muildieren",7.7
01019000,"Levende paarden, ezels, muildieren",10.9
01022110,Levende runderen,0.0
01022130,Levende runderen,0.0
01022190,Levende runderen,0.0
01022905,Levende runderen,0.0
01022910,Levende runderen,10.2
01022921,Levende runderen,10.2
01022929,Levende runderen,10.2
01022941,Levende runderen,10.2
01022949,Levende runderen,10.2
01022951,Levende runderen,10.2
01022959,Levende runderen,10.2
01022961,Levende runderen,10.2
01022969,Levende runderen,10.2
01022991,Levende runderen,10.2
01022999,Levende runderen,10.2
01023100,Levende runderen,0.0
01023910,Levende runderen,10.2
01023990,Levende runderen,0.0
01029020,Levende runderen,0.0
01029091,Levende runderen,10.2
01029099,Levende runderen,0.0
01031000,Levende varkens,0.0
01039110,Levende varkens,0.0
01039190,Levende varkens,0.0
01039211,Levende varkens,0.0
01039219,Levende varkens,0.0
01039290,Levende varkens,0.0
01041010,Levende schapen en geiten,0.0
01041030,Levende schapen en geiten,0.0
01041080,Levende schapen en geiten,0.0
01042010,Levende schapen en geiten,3.2
01042090,Levende schapen en geiten,0.0
01051111,Levend pluimvee,0.0
01051119,Levend pluimvee,0.0
01051191,Levend pluimvee,0.0
01051199,Levend pluimvee,0.0
01051200,Levend pluimvee,0.0
01051300,Levend pluimvee,0.0
01051400,Levend pluimvee,0.0
01051500,Levend pluimvee,0.0
01059400,Levend pluimvee,0.0
01059910,Levend pluimvee,0.0
01059920,Levend pluimvee,0.0
01059930,Levend pluimvee,0.0
01059950,Levend pluimvee,0.0
01061100,Andere levende dieren,0.0
01061200,Andere levende dieren,0.0
01061300,Andere levende dieren,0.0
01061410,Andere levende dieren,3.8
01061490,Andere levende dieren,0.0
01061900,Andere levende dieren,0.0
01062000,Andere levende dieren,0.0
01063100,Andere levende dieren,0.0
01063200,Andere levende dieren,0.0
01063300,Andere levende dieren,0.0
01063910,Andere levende dieren,6.4
01063980,Andere levende dieren,0.0
01064100,Andere levende dieren,0.0
01064900,Andere levende dieren,0.0
01069000,Andere levende dieren,0.0
02011000,Rundvlees vers/gekoeld,12.8
02012020,Rundvlees vers/gekoeld,12.8
02012030,Rundvlees vers/gekoeld,12.8
02012050,Rundvlees vers/gekoeld,12.8
02012090,Rundvlees vers/gekoeld,12.8
02013000,Rundvlees vers/gekoeld,12.8
02021000,Rundvlees bevroren,12.8
02022010,Rundvlees bevroren,12.8
02022030,Rundvlees bevroren,12.8
02022050,Rundvlees bevroren,12.8
02022090,Rundvlees bevroren,12.8
02023010,Rundvlees bevroren,12.8
02023050,Rundvlees bevroren,12.8
02023090,Rundvlees bevroren,12.8
02031110,Varkensvlees,0.0
02031190,Varkensvlees,0.0
02031211,Varkensvlees,0.0
02031219,Varkensvlees,0.0
02031290,Varkensvlees,0.0
02031911,Varkensvlees,0.0
02031913,Varkensvlees,0.0
02031915,Varkensvlees,0.0
02031955,Varkensvlees,0.0
02031959,Varkensvlees,0.0
02031990,Varkensvlees,0.0
02032110,Varkensvlees,0.0
02032190,Varkensvlees,0.0
02032211,Varkensvlees,0.0
02032219,Varkensvlees,0.0
02032290,Varkensvlees,0.0
02032911,Varkensvlees,0.0
02032913,Varkensvlees,0.0
02032915,Varkensvlees,0.0
02032955,Varkensvlees,0.0
02032959,Varkensvlees,0.0
02032990,Varkensvlees,0.0
02041000,Schapen/geitenvlees,12.8
02042100,Schapen/geitenvlees,12.8
02042210,Schapen/geitenvlees,12.8
02042230,Schapen/geitenvlees,12.8
02042250,Schapen/geitenvlees,12.8
02042290,Schapen/geitenvlees,12.8
02042300,Schapen/geitenvlees,12.8
02043000,Schapen/geitenvlees,12.8
02044100,Schapen/geitenvlees,12.8
02044210,Schapen/geitenvlees,12.8
02044230,Schapen/geitenvlees,12.8
02044250,Schapen/geitenvlees,12.8
02044290,Schapen/geitenvlees,12.8
02044310,Schapen/geitenvlees,12.8
02044390,Schapen/geitenvlees,12.8
02045011,Schapen/geitenvlees,12.8
02045013,Schapen/geitenvlees,12.8
02045015,Schapen/geitenvlees,12.8
02045019,Schapen/geitenvlees,12.8
02045031,Schapen/geitenvlees,12.8
02045039,Schapen/geitenvlees,12.8
02045051,Schapen/geitenvlees,12.8
02045053,Schapen/geitenvlees,12.8
02045055,Schapen/geitenvlees,12.8
02045059,Schapen/geitenvlees,12.8
02045071,Schapen/geitenvlees,12.8
02045079,Schapen/geitenvlees,12.8
02050020,Paardenvlees,5.1
02050080,Paardenvlees,5.1
02061010,Eetbare slachtafvallen rund/varken,0.0
02061095,Eetbare slachtafvallen rund/varken,12.8
02061098,Eetbare slachtafvallen rund/varken,0.0
02062100,Eetbare slachtafvallen rund/varken,0.0
02062200,Eetbare slachtafvallen rund/varken,0.0
02062910,Eetbare slachtafvallen rund/varken,0.0
02062991,Eetbare slachtafvallen rund/varken,12.8
02062999,Eetbare slachtafvallen rund/varken,0.0
02063000,Eetbare slachtafvallen rund/varken,0.0
02064100,Eetbare slachtafvallen rund/varken,0.0
02064900,Eetbare slachtafvallen rund/varken,0.0
02068010,Eetbare slachtafvallen rund/varken,0.0
02068091,Eetbare slachtafvallen rund/varken,6.4
02068099,Eetbare slachtafvallen rund/varken,0.0
02069010,Eetbare slachtafvallen rund/varken,0.0
02069091,Eetbare slachtafvallen rund/varken,6.4
02069099,Eetbare slachtafvallen rund/varken,0.0
02071110,Vlees/afvallen pluimvee,0.0
02071130,Vlees/afvallen pluimvee,0.0
02071190,Vlees/afvallen pluimvee,0.0
02071210,Vlees/afvallen pluimvee,0.0
02071290,Vlees/afvallen pluimvee,0.0
02071310,Vlees/afvallen pluimvee,0.0
02071320,Vlees/afvallen pluimvee,0.0
02071330,Vlees/afvallen pluimvee,0.0
02071340,Vlees/afvallen pluimvee,0.0
02071350,Vlees/afvallen pluimvee,0.0
02071360,Vlees/afvallen pluimvee,0.0
02071370,Vlees/afvallen pluimvee,0.0
02071391,Vlees/afvallen pluimvee,6.4
02071399,Vlees/afvallen pluimvee,0.0
02071410,Vlees/afvallen pluimvee,0.0
02071420,Vlees/afvallen pluimvee,0.0
02071430,Vlees/afvallen pluimvee,0.0
02071440,Vlees/afvallen pluimvee,0.0
02071450,Vlees/afvallen pluimvee,0.0
02071460,Vlees/afvallen pluimvee,0.0
02071470,Vlees/afvallen pluimvee,0.0
02071491,Vlees/afvallen pluimvee,6.4
02071499,Vlees/afvallen pluimvee,0.0
02072410,Vlees/afvallen pluimvee,0.0
02072490,Vlees/afvallen pluimvee,0.0
02072510,Vlees/afvallen pluimvee,0.0
02072590,Vlees/afvallen pluimvee,0.0
02072610,Vlees/afvallen pluimvee,0.0
02072620,Vlees/afvallen pluimvee,0.0
02072630,Vlees/afvallen pluimvee,0.0
02072640,Vlees/afvallen pluimvee,0.0
02072650,Vlees/afvallen pluimvee,0.0
02072660,Vlees/afvallen pluimvee,0.0
02072670,Vlees/afvallen pluimvee,0.0
02072680,Vlees/afvallen pluimvee,0.0
02072691,Vlees/afvallen pluimvee,6.4
02072699,Vlees/afvallen pluimvee,0.0
02072710,Vlees/afvallen pluimvee,0.0
02072720,Vlees/afvallen pluimvee,0.0
02072730,Vlees/afvallen pluimvee,0.0
02072740,Vlees/afvallen pluimvee,0.0
02072750,Vlees/afvallen pluimvee,0.0
02072760,Vlees/afvallen pluimvee,0.0
02072770,Vlees/afvallen pluimvee,0.0
02072780,Vlees/afvallen pluimvee,0.0
02072791,Vlees/afvallen pluimvee,6.4
02072799,Vlees/afvallen pluimvee,0.0
02074120,Vlees/afvallen pluimvee,0.0
02074130,Vlees/afvallen pluimvee,0.0
02074180,Vlees/afvallen pluimvee,0.0
02074230,Vlees/afvallen pluimvee,0.0
02074280,Vlees/afvallen pluimvee,0.0
02074300,Vlees/afvallen pluimvee,0.0
02074410,Vlees/afvallen pluimvee,0.0
02074421,Vlees/afvallen pluimvee,0.0
02074431,Vlees/afvallen pluimvee,0.0
02074441,Vlees/afvallen pluimvee,0.0
02074451,Vlees/afvallen pluimvee,0.0
02074461,Vlees/afvallen pluimvee,0.0
02074471,Vlees/afvallen pluimvee,0.0
02074481,Vlees/afvallen pluimvee,0.0
02074491,Vlees/afvallen pluimvee,6.4
02074499,Vlees/afvallen pluimvee,0.0
02074510,Vlees/afvallen pluimvee,0.0
02074521,Vlees/afvallen pluimvee,0.0
02074531,Vlees/afvallen pluimvee,0.0
02074541,Vlees/afvallen pluimvee,0.0
02074551,Vlees/afvallen pluimvee,0.0
02074561,Vlees/afvallen pluimvee,0.0
02074571,Vlees/afvallen pluimvee,0.0
02074581,Vlees/afvallen pluimvee,0.0
02074593,Vlees/afvallen pluimvee,0.0
02074595,Vlees/afvallen pluimvee,6.4
02074599,Vlees/afvallen pluimvee,0.0
02075110,Vlees/afvallen pluimvee,0.0
02075190,Vlees/afvallen pluimvee,0.0
02075210,Vlees/afvallen pluimvee,0.0
02075290,Vlees/afvallen pluimvee,0.0
02075300,Vlees/afvallen pluimvee,0.0
02075410,Vlees/afvallen pluimvee,0.0
02075421,Vlees/afvallen pluimvee,0.0
02075431,Vlees/afvallen pluimvee,0.0
02075441,Vlees/afvallen pluimvee,0.0
02075451,Vlees/afvallen pluimvee,0.0
02075461,Vlees/afvallen pluimvee,0.0
02075471,Vlees/afvallen pluimvee,0.0
02075481,Vlees/afvallen pluimvee,0.0
02075491,Vlees/afvallen pluimvee,6.4
02075499,Vlees/afvallen pluimvee,0.0
02075510,Vlees/afvallen pluimvee,0.0
